City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,qom,34.6401,50.8764,53.35,34,100,6.35,IR,1702267021
335,phitsanulok,16.9167,100.5,88.47,61,6,2.71,TH,1702267022
336,loudun,47.0079,0.083,59.18,93,100,16.93,FR,1702267023
337,lerwick,60.1545,-1.1494,44.6,78,100,16.08,GB,1702267024
338,la'ie,21.6477,-157.9253,82.36,83,19,1.99,US,1702267025
339,muzambinho,-21.3758,-46.5256,64.47,94,100,1.83,BR,1702267026
340,gadzhiyevo,69.2551,33.3362,6.06,93,88,15.39,RU,1702267027
341,majenang,-7.2975,108.7642,87.01,62,94,5.88,ID,1702267027
342,cooma,-36.2333,149.1333,81.21,48,100,7.81,AU,1702267028
343,general acha,-37.377,-64.6043,73.35,28,3,20.69,AR,1702267029
344,campechuela,20.2342,-77.2789,76.6,84,2,0.83,CU,1702267030
345,novaya igirma,57.1334,103.9112,-22.4,93,57,0.13,RU,1702267031
346,sokoni,-6.4333,39.55,78.66,75,69,6.13,TZ,1702267032
347,shubarshi,48.5872,57.1869,1.06,74,3,14.92,KZ,1702267033
348,pekalongan,-6.8886,109.6753,86.59,66,98,3.15,ID,1702267034
349,qusmuryn,52.4503,64.6311,-24.7,93,32,13.49,KZ,1702267035
350,sao jose de piranhas,-7.1206,-38.5019,77.86,62,61,8.05,BR,1702267036
351,fort bragg,35.139,-79.006,66.04,92,75,17.27,US,1702266775
352,bafoulabe,13.8065,-10.8321,72.1,18,61,3.27,ML,1702267037
353,umm kaddadah,13.6017,26.6876,71.65,14,100,7.58,SD,1702267038
354,sitka,57.0531,-135.33,39.09,70,75,8.05,US,1702267039
355,san matias,-16.3667,-58.4,74.91,89,91,2.75,BO,1702267040
356,titahari,26.6667,87.2833,71.4,47,0,1.77,NP,1702267041
357,east london,-33.0153,27.9116,63.54,94,75,2.3,ZA,1702267041
358,kone,-21.0595,164.8658,86.27,43,93,9.4,NC,1702267043
359,narsipatnam,17.6667,82.6167,77.97,63,32,2.04,IN,1702267043
360,tsiombe,-25.3,45.4833,81.79,63,98,2.95,MG,1702267044
361,priargunsk,50.3691,119.1012,-28.14,95,51,2.26,RU,1702267045
362,whitby,54.4877,-0.615,44.15,90,100,11.01,GB,1702266927
363,pangoa,-12.1167,-73.0,68.2,99,22,3.24,PE,1702267047
364,villa gesell,-37.2639,-56.973,64.06,86,0,10.27,AR,1702267048
365,berlin,52.5244,13.4105,46.99,96,75,19.57,DE,1702266980
366,tucuma,-0.1833,-50.05,77.2,90,82,7.27,BR,1702266804
367,callao,-12.0667,-77.15,70.72,77,75,10.36,PE,1702267037
368,namibe,-15.1961,12.1522,70.63,78,76,4.54,AO,1702267052
369,caceres,39.522,-6.3748,49.75,95,0,1.86,ES,1702267052
370,kodumudi,11.0775,77.8836,79.34,78,99,4.5,IN,1702267053
371,bosaso,11.2842,49.1816,76.14,71,2,2.64,SO,1702267054
372,zapolyarnyy,69.4154,30.8136,6.08,92,97,13.58,RU,1702267055
373,coldwater,41.9403,-85.0005,33.69,86,75,5.75,US,1702266787
374,kalmunai,7.4167,81.8167,81.63,78,93,5.66,LK,1702267057
375,kidal,18.4411,1.4078,63.27,19,28,19.13,ML,1702267058
376,ola,59.5833,151.2833,28.15,78,100,22.08,RU,1702267059
377,gunjur,13.2019,-16.7339,69.87,73,97,4.61,GM,1702267059
378,chadron,42.8294,-102.9999,32.86,64,100,8.05,US,1702267060
379,novodvinsk,64.4165,40.8122,2.95,91,100,10.31,RU,1702267061
